Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Tony,—,—,—,—,—,Cliff,—,—,Sarah,Morgan,LJ,Jeremiah,Jefra,Tasha,Trish,Spencer,None,,
Woo,—,—,—,—,—,LJ,—,—,Sarah,Morgan,LJ,Jeremiah,Jefra,Tasha,Trish,Spencer,Kass,,
Kass,J'Tia,Garrett,—,—,J'Tia,—,—,Alexis,Sarah,Morgan,Jeremiah,Jeremiah,Spencer,Tasha,Trish,Spencer,None,,
Spencer,David,J'Tia,—,—,J'Tia,—,—,Alexis,Jefra,Tony,LJ,Woo,Jefra,Tony,Trish,Woo,,,
Trish,—,—,—,—,—,Cliff,—,—,Sarah,Morgan,Jeremiah,Jeremiah,Spencer,Tasha,Kass,,,,
Tasha,David,Garrett,—,—,J'Tia,—,—,Alexis,Jefra,Tony,LJ,Woo,Jefra,Trish,,,,,
Jefra,—,—,Brice,Brice,—,Cliff,—,—,Sarah,Morgan,Jeremiah,Jeremiah,Spencer,,,,,,
Jeremiah,—,—,Morgan,Brice,—,—,—,Alexis,Jefra,Tony,LJ,Woo,,,,,,,
LJ,—,—,Morgan,Brice,—,Cliff,—,—,Sarah,Morgan,Spencer,,,,,,,,
Morgan,—,—,Alexis,None,—,—,—,Alexis,Jefra,Tony,,,,,,,,,
Sarah,—,—,—,—,—,—,—,Alexis,Jefra,,,,,,,,,,
Alexis,—,—,Brice,None,—,—,—,Jeremiah,,,,,,,,,,,
Lindsey,—,—,—,—,—,LJ,Quit,,,,,,,,,,,,
Cliff,—,—,—,—,—,LJ,,,,,,,,,,,,,
J'Tia,David,Garrett,—,—,Spencer,,,,,,,,,,,,,,
Brice,—,—,Alexis,None,,,,,,,,,,,,,,,
Garrett,David,J'Tia,,,,,,,,,,,,,,,,,
David,J'Tia,,,,,,,,,,,,,,,,,,
Result,David,Garrett,Tie,Brice,J'Tia,Cliff,Lindsey,Alexis,Sarah,Morgan,LJ,Jeremiah,Jefra,Tasha,Trish,Spencer,Kass,Woo,Tony
