Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Chris,Reem,Keith,Kelley,,,,,,,,,,,,,,,,,,
Gavin,—,—,—,—,Aubry,Lauren,Wendy,Joe,Eric,Julia,David,Aurora,Wardog,Ron,Aurora,Rick,Chris,—,,,
Julie,—,—,—,—,—,—,—,Joe,Lauren,Julia,David,Aurora,Wardog,Rick,Aurora,Rick,Chris,—,,,
Rick,Reem,Keith,Chris,Lauren,,,,,,,,,,,,,,,,,
Lauren,Wendy,Keith,Chris,Rick,—,Wendy,None,David,Eric,Julia,David,Aurora,Wardog,Ron,Aurora,Rick,Chris,,,,
Victoria,—,—,—,—,Aubry,Lauren,Wendy,Joe,Eric,Julia,David,Kelley,Wardog,Rick,Aurora,Chris,,,,,
Aurora,—,—,—,—,—,—,—,Rick,Eric,David,David,Kelley,Wardog,Rick,Julie,,,,,,
Ron,—,—,—,—,—,—,—,Joe,Kelley,Julia,David,Kelley,Wardog,Rick,,,,,,,
Wardog,Wendy,Keith,Chris,Rick,—,Wendy,Wendy,David,Eric,Julia,David,Kelley,Aurora,,,,,,,,
Kelley,Wendy,Keith,Chris,Rick,—,Wendy,Wendy,David,Eric,Julia,David,Aurora,,,,,,,,,
David,Reem,Keith,Chris,Lauren,—,Wendy,Wendy,Kelley,Eric,Julia,Wardog,,,,,,,,,,
Julia,—,—,—,—,—,—,—,Joe,Eric,Kelley,,,,,,,,,,,
Eric,—,—,—,—,Aubry,Lauren,Wendy,Joe,Kelley,,,,,,,,,,,,
Joe,—,—,—,—,—,—,—,Rick,,,,,,,,,,,,,
Wendy,Lauren,Kelley,Kelley,—,Aubry,Lauren,None,Quit,,,,,,,,,,,,,
Aubry,—,—,—,—,Wendy,,,,,,,,,,,,,,,,
Keith,Reem,Wendy,,,,,,,,,,,,,,,,,,,
Reem,Kelley,,,,,,,,,,,,,,,,,,,,
Result,Reem,Keith,Chris,Rick,Aubry,Tie,Wendy,Joe,Eric,Julia,David,Kelley,Wardog,Ron,Aurora,Victoria,Lauren,Rick,Julie,Gavin,Chris
