Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Adam,—,Figgy,—,—,—,Figgy,—,Michelle,Taylor,Chris,Zeke,Zeke,—,Zeke,Will,Sunday,Jay,David,David,,,
Hannah,—,Mari,—,—,—,—,Bret,Michelle,Jay,Chris,Zeke,None,—,Zeke,Will,Sunday,Jay,Bret,David,,,
Ken,Rachel,—,Paul,Jessica,—,Figgy,—,Michelle,Taylor,Chris,Zeke,Zeke,—,Zeke,Will,Sunday,Jay,Bret,David,,,
David,Rachel,—,Paul,Lucy,CeCe,—,—,Michelle,Taylor,Chris,Zeke,Zeke,—,Zeke,Will,Sunday,Jay,Bret,Adam,,,
Bret,Rachel,—,CeCe,Jessica,—,—,Michaela,Michelle,Jay,Jessica,Hannah,Hannah,—,Hannah,Will,David,Jay,David,,,,
Jay,—,Mari,—,—,—,—,Michaela,Adam,Taylor,Jessica,Hannah,Hannah,—,Hannah,David,David,Ken,,,,,
Sunday,CeCe,—,Paul,Jessica,—,—,Michaela,Michelle,Taylor,Jessica,Hannah,Hannah,—,Hannah,Will,Jay,,,,,,
Will,—,Mari,—,—,—,—,Michaela,Adam,Jay,Chris,Hannah,Hannah,—,Zeke,David,,,,,,,
Zeke,—,Figgy,—,—,CeCe,—,—,Michelle,Taylor,Chris,Hannah,None,—,Hannah,,,,,,,,
Jessica,CeCe,—,Paul,CeCe,—,Figgy,—,Michelle,Jay,Chris,Zeke,Zeke,,,,,,,,,,
Chris,Rachel,—,CeCe,Jessica,CeCe,—,—,Michelle,Taylor,Jessica,,,,,,,,,,,,
Taylor,—,Mari,—,—,—,Ken,—,Adam,Adam,,,,,,,,,,,,,
Michelle,—,Mari,—,—,CeCe,—,—,Adam,,,,,,,,,,,,,,
Michaela,—,Mari,—,—,—,—,Bret,,,,,,,,,,,,,,,
Figgy,—,Mari,—,—,—,Ken,,,,,,,,,,,,,,,,
CeCe,David,—,Paul,Lucy,Michelle,,,,,,,,,,,,,,,,,
Lucy,CeCe,—,Paul,Jessica,,,,,,,,,,,,,,,,,,
Paul,Rachel,—,CeCe,,,,,,,,,,,,,,,,,,,
Mari,—,Figgy,,,,,,,,,,,,,,,,,,,,
Rachel,Sunday,,,,,,,,,,,,,,,,,,,,,
Result,Rachel,Mari,Paul,Lucy,CeCe,Figgy,Michaela,Michelle,Taylor,Chris,Tie,Deadlock,Jessica,Zeke,Will,Sunday,Jay,Bret,David,Ken,Hannah,Adam
